Half Reaction,Standard Reduction Potential (V)
2 H+ + 2 e- -> H2,0.00000
CuI2- + e- -> Cu + 2 I-,0.00
Ge4+ + 2 e- -> Ge2+,0.00
NO3- + H2O + 2 e- -> NO2- + 2 OH-,0.01
Tl2O3 + 3 H2O + 4 e- -> 2 Tl+ + 6 OH-,0.02
SeO4(2-) + H2O + 2 e- -> SeO3(2-) + 2 OH-,0.05
WO3 + 2 H+ + 2 e- -> WO2 + H2O,0.036
Pd(OH)2 + 2 e- -> Pd + 2 OH-,0.07
AgBr + e- -> Ag + Br-,0.07133
MoO3 + 6 H+ + 6 e- -> Mo + 3 H2O,0.075
S4O6(2-) + 2 e- -> 2 S2O3(2-),0.08
H3Mo7O24(3-) + 45 H+ + 42 e- -> 7 Mo + 24 H2O,0.082
AgSCN + e- -> Ag + SCN-,0.8951
N2 + 2 H2O + 6 H+ + 6 e- -> 2 NH4OH,0.092
HgO + H2O + 2 e- -> Hg + 2 OH-,0.0977
Ir2O3 + 3 H2O + 6 e- -> 2 Ir + 6 OH-,0.098
2 NO + 2 e- -> N2O2(2-),0.10
[Ru(NH3)6]3+ + e- -> [Ru(NH3)6]2+,0.10
W3+ + 3 e- -> W,0.1
[Co(NH3)6]3+ + e- -> [Co(NH3)6]2+,0.108
Hg2O + H2O + 2 e- -> 2 Hg + 2 OH-,0.123
Ge4+ + 4 e- -> Ge,0.124
Hg2Br2 + 2 e- -> 2 Hg + 2 Br-,0.13923
Pt(OH)2 + 2 e- -> Pt + 2 OH-,0.14
[V(phen)3]3+ + e- -> [V(phen)3]2+,0.14
S + 2 H+ + 2 e- -> H2S(aq),0.142
Sn(OH)3+ + 3 H+ + 2 e- -> Sn2+ + 3 H2O,0.142
Np4+ + e- -> Np3+,0.147
Ag4[Fe(CN)6] + 4 e- -> 4 Ag+ + [Fe(CN)6]4-,0.1478
IO3- + 2 H2O + 4 e- -> IO- + 4 OH-,0.15
Mn(OH)3 + e- -> Mn(OH)2 + OH-,0.15
2 NO2- + 3 H2O + 4 e- -> N2O + 6 OH-,0.15
Sn4+ + 2 e- -> Sn2+,0.151
